--  --  --------  -----------  ---
10  12  227       43           49
10  13  111       20           17
10  14  1046      217          177
10  15  1777      348          348
10  16  1287      268          209
10  17  1307      286          225
10  18  821       176          149
10  19  215       39           34
10  20  297       65           43
11  1   0         0            0
11  2   0         0            0
11  3   46        4            2
11  4   584       98           101
11  5   813       151          148
11  6   2275      453          376
11  7   2851      570          532
11  8   1610      326          265
11  9   1046      188          193
11  10  312       49           56
11  11  259       53           48
11  12  359       79           71
11  13  399       81           84
11  14  514       101          93
11  15  209       48           43
11  16  592       127          110
11  17  111       17           16
11  18  25        4            3
11  19  386       62           70
11  20  122       30           28
12  1   51        10           12
12  2   0         0            0
12  3   414       81           74
12  4   255       53           46
12  5   478       87           96
12  6   372       70           70
12  7   2227      486          403
12  8   1631      315          308
12  9   1910      410          331
12  10  452       99           88
12  11  419       82           87
12  12  528       96           87
12  13  633       128          120
12  14  383       98           85
12  15  319       67           73
12  16  66        14           13
12  17  219       37           47
12  18  28        3            3
12  19  2         1            0
12  20  77        13           12
13  1   0         0            0
13  2   240       42           44
13  3   97        27           15
13  4   691       144          137
13  5   694       147          141
13  6   553       116          95
13  7   221       57           39
13  8   2462      477          457
13  9   1299      271          236
13  10  504       100          95
13  11  282       70           54
13  12  303       48           48
13  13  152       32           27
13  14  642       103          111
13  15  525       94           95
13  16  269       63           56
13  17  35        3            8
13  18  138       19           22
13  19  0         0            0
13  20  0         0            0
14  1   59        10           5
14  2   94        20           17
14  3   632       135          101
14  4   628       128          150
14  5   293       56           56
14  6   401       88           65
14  7   523       106          91
14  8   113       31           38
14  9   1298      260          224
14  10  569       111          98
14  11  565       102          111
14  12  369       73           67
14  13  314       83           64
14  14  215       51           43
14  15  205       37           31
14  16  295       87           52
14  17  151       24           31
14  18  6         4            2
14  19  43        5            8
14  20  0         0            0
15  1   0         0            0
15  2   95        10           19
15  3   263       69           44
15  4   583       130          111
15  5   73        16           14
15  6   22        2            3
15  7   449       81           81
15  8   378       67           71
15  9   57        10           19
15  10  666       125          120
15  11  345       82           76
15  12  113       19           22
15  13  227       40           48
15  14  232       41           50
15  15  73        13           9
15  16  62        13           5
15  17  64        23           12
15  18  34        10           8
15  19  2         0            0
15  20  39        11           16
16  1   30        6            2
16  2   55        12           9
16  3   224       48           36
16  4   469       92           95
16  5   402       82           62
16  6   177       48           30
16  7   54        8            9
16  8   351       67           66
16  9   292       71           43
16  10  192       41           39
16  11  134       28           32
16  12  175       29           39
16  13  48        12           10
16  14  17        4            2
16  15  84        12           5
16  16  12        4            1
16  17  20        4            5
16  18  5         0            1
16  19  0         0            0
16  20  0         0            0
17  1   60        11           11
17  2   233       42           29
17  3   163       35           29
17  4   191       41           27
17  5   554       109          99
17  6   403       52           79
17  7   328       66           55
17  8   33        6            8
17  9   428       85           66
17  10  230       36           40
17  11  65        13           12
17  12  51        9            14
17  13  18        5            5
17  14  20        3            8
17  15  0         0            0
17  16  15        3            5
17  17  0         0            0
17  18  0         0            0
17  19  73        14           11
17  20  202       41           47
18  1   227       36           34
18  2   224       48           41
18  3   286       52           50
18  4   287       66           41
18  5   257       52           38
18  6   331       99           75
18  7   384       85           76
18  8   449       84           80
18  9   444       90           85
18  10  762       144          125
18  11  183       32           33
18  12  106       25           19
18  13  338       65           75
18  14  217       50           43
18  15  381       73           56
18  16  297       61           60
18  17  223       44           34
18  18  72        14           12
18  19  48        10           11
18  20  56        12           11
19  1   26        7            9
19  2   244       49           41
19  3   181       37           36
19  4   211       63           46
19  5   318       90           47
19  6   433       95           74
19  7   76        18           13
19  8   313       90           57
19  9   962       178          182
19  10  121       28           21
19  11  651       116          128
19  12  253       40           50
19  13  325       66           55
19  14  905       156          167
19  15  853       195          159
19  16  707       149          132
19  17  206       44           42
19  18  78        18           9
19  19  34        9            3
19  20  57        10           7
20  1   0         0            0
20  2   47        10           10
20  3   299       66           55
20  4   233       45           38
20  5   392       78           67
20  6   157       27           26
20  7   261       55           53
20  8   22        4            4
20  9   304       59           46
20  10  1303      260          275
20  11  649       147          130
20  12  454       84           102
20  13  201       45           37
20  14  211       53           38
20  15  146       33           24
20  16  136       22           15
20  17  458       102          78
20  18  128       31           28
20  19  18        1            2
20  20  0         0            1
--  --  --------  -----------  ---
